timestamp,heart_rate,,,,,
2024-11-22T09:31:48,168,,,,,
2024-11-22T09:31:50,167,,,,,
2024-11-22T09:31:52,166,,,,,
2024-11-22T09:31:53,167,,,,,
2024-11-22T09:31:54,166,,,,,
2024-11-22T09:31:55,165,,,,,
2024-11-22T09:31:57,164,,,,,
2024-11-22T09:31:59,163,,,,,
2024-11-22T09:32:03,162,,,,,
2024-11-22T09:32:04,161,,,,,
2024-11-22T09:32:05,160,,,,,
2024-11-22T09:32:08,159,,,,,
2024-11-22T09:32:13,158,,,,,
2024-11-22T09:32:16,157,,,,,
2024-11-22T09:32:19,156,,,,,
2024-11-22T09:32:22,155,,,,,
2024-11-22T09:32:36,154,,,,,
2024-11-22T09:32:41,153,,,,,
2024-11-22T09:32:51,152,,,,,
2024-11-22T09:33:30,153,,,,,
2024-11-22T09:33:41,152,,,,,
2024-11-22T09:34:19,151,,,,,
2024-11-22T09:34:34,152,,,,,
2024-11-22T09:34:41,151,,,,,
2024-11-22T09:34:46,150,,,,,
2024-11-22T09:34:55,151,,,,,
2024-11-22T09:35:01,150,,,,,
2024-11-22T09:35:06,149,,,,,
2024-11-22T09:35:07,148,,,,,
2024-11-22T09:35:14,149,,,,,
2024-11-22T09:35:17,150,,,,,
2024-11-22T09:35:18,151,,,,,
2024-11-22T09:35:19,152,,,,,
2024-11-22T09:35:20,153,,,,,
2024-11-22T09:35:21,154,,,,,
2024-11-22T09:35:22,155,,,,,
2024-11-22T09:35:23,156,,,,,
2024-11-22T09:35:25,157,,,,,
2024-11-22T09:35:26,158,,,,,
2024-11-22T09:35:27,159,,,,,
2024-11-22T09:35:28,160,,,,,
2024-11-22T09:35:29,161,,,,,
2024-11-22T09:35:30,163,,,,,
2024-11-22T09:35:31,164,,,,,
2024-11-22T09:35:32,165,,,,,
2024-11-22T09:35:33,166,,,,,
2024-11-22T09:35:34,168,,,,,
2024-11-22T09:35:36,169,,,,,
2024-11-22T09:35:37,170,,,,,
2024-11-22T09:35:38,171,,,,,
2024-11-22T09:35:39,172,,,,,
2024-11-22T09:35:42,173,,,,,
2024-11-22T09:35:44,174,,,,,
2024-11-22T09:35:46,175,,,,,
2024-11-22T09:35:47,176,,,,,
2024-11-22T09:35:48,177,,,,,
2024-11-22T09:35:49,178,,,,,
2024-11-22T09:35:53,179,,,,,
2024-11-22T09:35:55,180,,,,,
2024-11-22T09:36:02,181,,,,,
2024-11-22T09:36:03,183,,,,,
